City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Visby,SE,57.6409,18.296,55.81,100,75,12.66,light rain
80,Sitka,US,57.0531,-135.33,55.29,88,20,0.0,few clouds
81,Vao,NC,-22.6667,167.4833,73.04,72,100,3.62,overcast clouds
82,Basco,PH,20.4487,121.9702,79.21,84,86,32.1,overcast clouds
83,Namie,JP,37.4833,141.0,57.72,91,100,14.99,overcast clouds
84,Sechura,PE,-5.5569,-80.8222,74.88,54,38,18.7,scattered clouds
85,Pasni,PK,25.2631,63.471,78.71,65,34,9.48,scattered clouds
86,Monroe,US,43.1501,-77.6831,55.65,62,71,7.0,broken clouds
87,Naze,JP,28.3667,129.4833,67.12,81,99,25.48,overcast clouds
88,Martapura,ID,-3.4167,114.85,75.29,100,40,4.61,scattered clouds
89,Hilo,US,19.7297,-155.09,92.28,74,10,5.99,clear sky
90,Saint-Francois,FR,46.4154,3.9054,63.84,72,0,9.22,clear sky
91,Labuhan,ID,-6.8844,112.2051,79.03,80,100,10.25,moderate rain
92,Longyearbyen,SJ,78.2186,15.6401,21.04,86,40,4.61,scattered clouds
93,Butaritari,KI,3.0707,172.7902,80.73,80,23,15.46,light rain
94,Lompoc,US,34.6391,-120.4579,84.02,66,46,3.0,scattered clouds
95,Muros,ES,42.7762,-9.0603,63.84,92,1,6.67,clear sky
96,Baykit,RU,61.67,96.37,31.77,96,100,1.12,light snow
97,Victoria,HK,22.2855,114.1577,77.05,76,100,23.89,overcast clouds
98,Partizanskoye,RU,55.5006,94.39,43.12,69,65,21.34,broken clouds
99,Lebu,CL,-37.6167,-73.65,55.15,94,65,1.39,broken clouds
100,Santa Helena,BR,-2.2311,-45.3,84.34,59,68,6.02,broken clouds
101,Maningrida,AU,-12.0667,134.2667,81.86,73,99,5.41,overcast clouds
102,Limoges,FR,45.75,1.3333,64.96,82,0,5.75,clear sky
103,Zyrardow,PL,52.0488,20.446,62.8,57,80,13.2,broken clouds
104,Tasiilaq,GL,65.6145,-37.6368,26.67,63,99,3.33,overcast clouds
105,Durant,US,33.994,-96.3708,68.74,21,0,12.66,clear sky
106,Laguna,US,38.421,-121.4238,80.64,51,0,5.75,clear sky
107,Mar Del Plata,AR,-38.0023,-57.5575,58.95,79,41,8.99,scattered clouds
108,Clyde River,CA,70.4692,-68.5914,24.22,90,100,11.68,overcast clouds
109,Kargasok,RU,59.0556,80.8572,36.75,69,100,2.55,overcast clouds
110,Mount Isa,AU,-20.7333,139.5,74.97,69,75,21.85,broken clouds
111,Esperance,AU,-33.8667,121.9,56.44,74,29,12.55,scattered clouds
112,Yanam,IN,16.7333,82.2167,76.59,88,100,3.65,overcast clouds
113,Margate,GB,51.3813,1.3862,56.7,85,89,10.49,overcast clouds
114,Tuatapere,NZ,-46.1333,167.6833,45.79,79,57,10.29,broken clouds
115,Barrow,US,71.2906,-156.7887,28.42,80,100,13.8,overcast clouds
116,Linxia,CN,35.6003,103.2064,44.47,50,100,2.62,overcast clouds
117,Kutum,SD,14.2,24.6667,75.72,26,1,12.97,clear sky
118,Sri Aman,MY,1.2376,111.4621,72.59,99,100,1.39,moderate rain
119,Balkhash,KZ,46.844,74.9804,47.95,46,100,10.74,overcast clouds
120,Sao Filipe,CV,14.8961,-24.4956,78.1,78,100,3.11,overcast clouds
121,Port Elizabeth,ZA,-33.918,25.5701,64.69,91,100,10.36,overcast clouds
122,Cherskiy,RU,68.75,161.3,-9.17,99,79,3.89,broken clouds
123,Bac Lieu,VN,9.285,105.7244,76.06,88,81,5.53,broken clouds
124,Acapulco,MX,16.8634,-99.8901,84.4,73,46,4.63,light rain
125,Tilichiki,RU,60.4667,166.1,24.75,91,100,11.99,light snow
126,Boa Vista,BR,2.8197,-60.6733,76.98,78,20,9.22,moderate rain
127,Kruisfontein,ZA,-34.0033,24.7314,61.88,87,68,5.3,broken clouds
128,Roald,NO,62.5833,6.1333,49.33,81,0,11.5,light rain
129,Ulladulla,AU,-35.35,150.4667,57.58,78,99,2.91,overcast clouds
130,Saint-Georges,GD,12.0564,-61.7485,87.48,66,20,10.36,few clouds
131,Kangaba,ML,11.9333,-8.4167,78.06,67,53,1.66,broken clouds
132,Belz,FR,47.6751,-3.168,61.09,94,63,4.7,broken clouds
133,Zhuhai,CN,22.2769,113.5678,76.78,57,20,29.93,light rain
134,Blackwater,AU,-23.5833,148.8833,70.77,84,54,13.82,broken clouds
135,Zherdevka,RU,51.8486,41.4606,45.5,64,98,12.59,overcast clouds
136,East London,ZA,-33.0153,27.9116,67.44,87,4,8.81,clear sky
137,Verkhneye Dubrovo,RU,56.7528,61.0468,38.59,86,40,8.95,scattered clouds
138,Ambulu,ID,-8.345,113.6058,75.09,92,100,1.48,overcast clouds
139,Buin,CL,-33.7333,-70.75,71.11,41,0,11.18,clear sky
140,Chokurdakh,RU,70.6333,147.9167,15.28,96,99,7.65,overcast clouds
141,Lavrentiya,RU,65.5833,-171.0,30.67,82,99,7.63,overcast clouds
142,Puerto Ayora,EC,-0.7393,-90.3518,67.55,87,76,5.99,broken clouds
143,Sobolevo,RU,54.4299,31.8996,46.42,93,59,6.89,broken clouds
144,Barmer,IN,25.75,71.3833,78.96,31,0,7.4,clear sky
145,Morehead,US,37.2711,-87.1764,54.0,34,0,11.5,clear sky
146,Batsfjord,NO,70.6345,29.7185,42.73,81,40,28.77,scattered clouds
147,Tual,ID,-5.6667,132.75,83.46,76,99,7.49,overcast clouds
148,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,78,0,18.41,clear sky
149,Bathsheba,BB,13.2167,-59.5167,82.58,75,8,10.27,clear sky
150,Abu Samrah,SY,35.3029,37.1841,70.43,66,29,7.58,scattered clouds
151,Xinyu,CN,27.8043,114.9334,58.66,45,81,10.04,broken clouds
152,Te Anau,NZ,-45.4167,167.7167,45.59,73,69,4.83,broken clouds
153,Great Yarmouth,GB,52.6083,1.7305,55.42,75,100,9.91,overcast clouds
154,Siniscola,IT,40.5719,9.6922,62.15,83,97,5.01,overcast clouds
155,Caravelas,BR,-17.7125,-39.2481,75.18,78,20,7.45,few clouds
156,Palpa,PE,-14.5336,-75.1856,79.65,40,3,9.8,clear sky
157,Winburg,ZA,-28.518,27.0093,63.36,69,100,6.6,overcast clouds
158,Ishigaki,JP,24.3448,124.1572,74.03,83,100,39.91,overcast clouds
159,Ponta Do Sol,PT,32.6667,-17.1,74.03,82,53,10.96,light rain
160,Udachnyy,RU,66.4167,112.4,13.6,98,100,3.24,overcast clouds
161,Vanimo,PG,-2.6741,141.3028,77.63,89,93,3.69,overcast clouds
162,Kiunga,PG,-6.1219,141.2906,73.85,99,100,1.81,overcast clouds
163,Dudinka,RU,69.4058,86.1778,29.62,99,99,6.2,light snow
164,Puerto Baquerizo Moreno,EC,-0.9,-89.6,67.95,79,73,13.09,broken clouds
165,Lebyazhye,RU,55.2689,66.4947,40.14,89,94,8.66,overcast clouds
166,Panzhihua,CN,26.5851,101.7128,57.85,88,100,1.03,overcast clouds
167,Carnarvon,AU,-24.8667,113.6333,62.38,60,0,17.98,clear sky
168,Mahebourg,MU,-20.4081,57.7,70.09,78,20,8.05,few clouds
169,Paracale,PH,14.2804,122.7881,77.43,93,91,5.61,overcast clouds
170,Guerrero Negro,MX,27.9769,-114.0611,79.12,50,0,8.75,clear sky
171,Qasigiannguit,GL,68.8193,-51.1922,35.85,87,100,5.79,overcast clouds
172,Kysyl-Syr,RU,63.8986,122.7617,12.51,98,99,2.17,overcast clouds
173,Zhenjiang,CN,32.2092,119.4342,52.81,61,2,1.01,clear sky
174,Raudeberg,NO,61.9875,5.1352,46.96,50,100,13.35,light rain
175,Northam,GB,51.0333,-4.2167,49.24,86,0,6.26,clear sky
176,Vaini,TO,-21.2,-175.2,76.48,83,15,16.35,few clouds
177,Bethel,US,41.3712,-73.414,64.76,79,100,1.01,overcast clouds
178,Hermanus,ZA,-34.4187,19.2345,59.81,91,93,5.88,overcast clouds
179,Solikamsk,RU,59.6196,56.7729,41.27,84,98,9.95,overcast clouds
180,Chuy,UY,-33.6971,-53.4616,59.77,79,18,14.56,few clouds
181,Nikolskoye,RU,59.7035,30.7861,49.91,83,100,9.6,overcast clouds
182,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,61.65,95,100,9.35,light rain
183,Yakeshi,CN,49.2833,120.7333,21.49,56,46,3.62,scattered clouds
184,Tari,NG,12.4086,4.4914,82.2,27,8,5.19,clear sky
185,Husavik,IS,66.0449,-17.3389,32.9,82,99,10.22,overcast clouds
