City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
189,Ballina,AU,63.01,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
190,Half Moon Bay,US,77.92,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
191,Port Hedland,AU,66.25,few clouds,-20.3167,118.5667,The Esplanade Hotel
194,Itarema,BR,79.21,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
195,Hasaki,JP,61.29,moderate rain,35.7333,140.8333,Inubosaki Kanko Hotel
198,Sala,MA,76.64,few clouds,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
199,Sohag,EG,75.25,clear sky,26.557,31.6948,Civil Registry - Sohag 1
200,Lahaina,US,87.8,clear sky,20.8783,-156.6825,Lahaina Shores Beach Resort
201,Port Blair,IN,79.18,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
202,Saldanha,ZA,60.85,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
203,San Pedro De Ycuamandiyu,PY,70.77,overcast clouds,-24.0917,-57.0764,Hotel Refugio
204,Morondava,MG,76.05,clear sky,-20.2833,44.2833,La Case Bambou
205,Mackay,AU,78.67,overcast clouds,-21.15,149.2,International Lodge Motel
208,Bontang,ID,76.3,very heavy rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
209,Touros,BR,77.83,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
211,Canaries,ES,66.16,few clouds,28.0,-15.5,Villa del Monte
212,Isangel,VU,75.52,overcast clouds,-19.55,169.2667,Tanna Lodge
213,Fortuna,US,72.93,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
216,Axim,GH,77.56,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
217,Moree,AU,60.22,clear sky,-29.4667,149.85,Molika Springs Motel
218,Bambous Virieux,MU,70.05,few clouds,-20.3428,57.7575,Casa Tia Villa
221,Waingapu,ID,79.27,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
223,Arroyo,ES,61.59,clear sky,41.6096,-4.7969,Hotel El Jardín de la Abadía
225,Shingu,JP,63.91,overcast clouds,33.7333,135.9833,Shingu UI Hotel
232,Hithadhoo,MV,80.98,overcast clouds,-0.6,73.0833,Scoop Guest House
234,Urucara,BR,78.91,moderate rain,-2.5364,-57.76,Pousada Maria Bonita
235,Trairi,BR,79.45,overcast clouds,-3.2778,-39.2689,janelas do mar
237,Uaua,BR,87.31,broken clouds,-9.8414,-39.4817,Hotel Uauá
238,Ahipara,NZ,60.37,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
239,Kirando,TZ,75.88,clear sky,-7.4167,30.6,"Lake Shore Lodge, Tanganyika"
241,Cap Malheureux,MU,68.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
244,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,K2 Lembeh
247,Gizo,SB,83.21,scattered clouds,-8.103,156.8419,Imagination Island
250,Saint George,US,82.44,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
253,Grand Gaube,MU,70.2,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
255,Kabanjahe,ID,61.39,overcast clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
256,Jerantut,MY,74.26,overcast clouds,3.936,102.3626,Jerantut Hill Resort
257,Kribi,CM,78.42,moderate rain,2.95,9.9167,La Grace Hôtel
259,Coihaique,CL,75.15,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
261,Luwuk,ID,77.65,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
262,Bubaque,GW,81.12,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
265,Barranca,PE,64.87,scattered clouds,-10.75,-77.7667,El Olivar Hospedaje
266,Plettenberg Bay,ZA,61.68,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
267,Cockburn Town,TC,81.52,clear sky,21.4612,-71.1419,Osprey Beach Hotel
268,Wickede,DE,61.66,light rain,51.4833,7.8667,Hotel Waldschlösschen
271,Sabha,LY,70.79,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
272,Mayumba,GA,77.58,broken clouds,-3.432,10.6554,LIKWALE LODGE
273,Dharmanagar,IN,73.09,few clouds,24.3667,92.1667,Juri Lodge
276,Los Llanos De Aridane,ES,67.75,clear sky,28.6585,-17.9182,Valle Aridane
277,Kahului,US,87.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
279,Pahrump,US,85.24,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
283,Galle,LK,77.18,overcast clouds,6.0367,80.217,Amangalla
284,Berberati,CF,68.88,overcast clouds,4.2612,15.7922,MAIRIE DE BERBERATI
288,Bandarbeyla,SO,77.31,clear sky,9.4942,50.8122,JABIR HOTEL
289,Rawson,AR,67.84,few clouds,-43.3002,-65.1023,Hosteria Sampedro
291,Bengkulu,ID,74.98,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
292,Namibe,AO,67.57,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
293,Fairview,US,68.54,broken clouds,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
296,Kloulklubed,PW,83.89,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
297,Dok Kham Tai,TH,65.26,scattered clouds,19.1624,99.9934,โรงแรมวีซี ดอกคำใต้ พะเยา
298,Hobyo,SO,78.39,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
300,Barabai,ID,74.37,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
302,Bow Island,CA,74.62,clear sky,49.8668,-111.3684,Silver Sage Motel
303,Fare,PF,77.5,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
305,Bloemhof,ZA,65.1,overcast clouds,-27.6469,25.607,Victory Towers
308,Quesnel,CA,68.5,clear sky,52.9999,-122.5029,Ramada by Wyndham Quesnel
309,Antofagasta,CL,62.19,few clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
315,Lillooet,CA,74.23,overcast clouds,50.6856,-121.942,Hotel Victoria
318,Arlit,NE,86.95,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
319,Ribeira Brava,PT,74.03,light rain,32.65,-17.0667,Hotel do Campo
322,Vila Nova De Milfontes,PT,66.25,clear sky,37.7238,-8.7828,Casazul
323,Saint-Joseph,RE,66.58,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
324,Sorong,ID,79.41,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
325,Salinopolis,BR,80.82,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
327,Burns Lake,CA,64.24,broken clouds,54.2331,-125.7533,Burns Lake Bed and Breakfast
328,Pacific Grove,US,79.39,clear sky,36.6177,-121.9166,Lovers Point Inn
330,El Prat De Llobregat,ES,74.14,broken clouds,41.3278,2.0947,Hotel Porta Fira
333,Fethiye,TR,73.27,overcast clouds,36.6217,29.1164,Club & Hotel Letoonia
334,Ternate,ID,80.71,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
336,Sur,OM,79.07,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
339,Mahenge,TZ,63.75,clear sky,-8.6833,36.7167,Mahenge ulanga
340,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
343,Carutapera,BR,80.31,few clouds,-1.195,-46.02,Lidera
344,Sinnamary,GF,81.21,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
345,Portland,US,72.81,smoke,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
350,Orange,US,89.29,few clouds,33.7,-117.7675,Meadows
352,Ariquemes,BR,84.56,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
354,Namatanai,PG,80.15,light rain,-3.6667,152.4333,Seagulls Inn Namatani
361,San Jose,US,79.68,scattered clouds,37.3394,-121.895,The Westin San Jose
362,Puerto Narino,CO,80.8,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
363,Rio Grande,BR,62.71,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
364,Luocheng,CN,60.82,clear sky,29.3848,104.0286,Luocheng Hotel
365,Huambo,AO,62.15,overcast clouds,-12.7761,15.7392,Residencial Mãesidencial Mãe Lina
367,Mbanza-Ngungu,CD,72.72,broken clouds,-5.25,14.8667,Hotel Full Business
368,Bonthe,SL,77.86,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
370,Meulaboh,ID,75.31,broken clouds,4.1363,96.1285,Kost Pria
374,Eureka,US,77.67,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
377,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Pirineos
381,Graaff-Reinet,ZA,60.93,clear sky,-32.2522,24.5308,Rietjiesbos Self Catering
382,Palmer,US,61.34,overcast clouds,42.1584,-72.3287,Wedgewood Motel
383,Ruteng,ID,63.01,overcast clouds,-8.6136,120.4721,Hotel FX 72
384,Umm Lajj,SA,83.3,few clouds,25.0213,37.2685,Moon light Furnished Units
385,Hoquiam,US,68.45,overcast clouds,46.9809,-123.8893,Econo Lodge Inn & Suites
386,Barauna,BR,79.14,overcast clouds,-5.08,-37.6167,Pousada Rancho do Sabiá
388,Torbay,CA,60.58,overcast clouds,47.6666,-52.7314,Gallows Cove
392,Tecoanapa,MX,83.86,light rain,16.5167,-98.75,Hotel Manglares
394,San Carlos,VE,83.03,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
396,Pozo Colorado,PY,75.52,light rain,-23.4923,-58.7972,Hospedaje La Norteña
397,Savannakhet,LA,64.99,overcast clouds,16.566,104.751,โรงแรม ริเวอร์ ฟร้อนท์ (Riverfront Hotel)
399,Soe,ID,68.45,overcast clouds,-9.8607,124.284,Dena Hotel
400,Monrovia,LR,77.36,overcast clouds,6.3005,-10.7969,Sunset Inn
402,Lorengau,PG,80.91,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
403,Tandlianwala,PK,72.27,clear sky,31.0333,73.1333,Mani cloth center home
404,Karratha,AU,72.73,clear sky,-20.7377,116.8463,ibis Styles Karratha
410,Marrakesh,MA,78.87,scattered clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
413,Pisco,PE,64.45,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
422,Niquero,CU,83.12,broken clouds,20.0431,-77.5828,Islazul Niquero
423,Porto Novo,BJ,78.3,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
424,Marsh Harbour,BS,80.87,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
426,Nelson Bay,AU,62.11,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
427,Kupang,ID,80.02,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
430,Moanda,GA,69.89,moderate rain,-1.5575,13.2178,Heliconia Stadium Moanda
432,Libertador General San Martin,AR,72.16,overcast clouds,-23.8064,-64.7876,Posada del Sol
434,Puri,IN,77.52,broken clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
435,Ostend,BE,60.35,scattered clouds,51.2234,2.9119,Hotel Cardiff & Afternoon Tea Lounge
437,Cairns,AU,75.11,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
438,Tateyama,JP,69.1,light rain,34.9833,139.8667,Tateyama Seaside Hotel
439,Burla,IN,75.24,few clouds,21.5,83.8667,Manoj Kumar Sahoo
440,Tirur,IN,74.39,light rain,10.9,75.9167,Sangamam Residency
441,Tahoua,NE,85.8,clear sky,14.8888,5.2692,Bungalows Guesthouse
442,Along,IN,61.88,clear sky,28.1667,94.7667,Hotel West
445,Ancud,CL,73.22,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
447,Byron Bay,AU,64.71,light rain,-28.65,153.6167,Backpackers Inn
448,Pitimbu,BR,79.39,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
449,San Policarpo,PH,78.03,moderate rain,12.1791,125.5072,Agapita M. Nicart
450,Male,MV,80.55,broken clouds,4.1748,73.5089,Hotel Octave Maldives
451,Gogapur,IN,66.65,clear sky,23.55,75.5167,विशाल देवडा
452,Bahia Honda,CU,82.44,scattered clouds,22.9036,-83.1592,Casa Gualberto - Deysi
455,Menongue,AO,64.29,overcast clouds,-14.6585,17.691,Ritz Lauca
458,Santa Isabel,BR,69.51,overcast clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
463,Galdar,ES,72.1,overcast clouds,28.147,-15.6502,Hostel Guide
464,Port Macquarie,AU,62.89,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
465,Tautira,PF,76.21,light rain,-17.7333,-149.15,Pension Oaoa
466,Dosso,NE,84.45,clear sky,13.049,3.1937,Hotel Toubal
467,Maracaibo,VE,84.07,broken clouds,10.6317,-71.6406,Motel Aladdin
468,Abnub,EG,75.34,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
470,Palizada,MX,88.29,overcast clouds,18.25,-92.0833,Hotel San Joaquín Palizada
475,Willowmore,ZA,62.71,overcast clouds,-33.2926,23.4895,Jumper's Place
478,Padang,ID,76.98,overcast clouds,-0.9492,100.3543,Mercure Padang
480,Nadadores,MX,69.49,overcast clouds,27.05,-101.6,Hacienda Las Catalinas
481,Itoman,JP,73.42,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
483,Oussouye,SN,79.21,broken clouds,12.485,-16.5469,Auberge du Routard
484,Barra Mansa,BR,70.2,overcast clouds,-22.5442,-44.1714,Ano Bom Palace Hotel
488,Alta Floresta,BR,84.51,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
489,Colon,PA,84.11,overcast clouds,9.3592,-79.9014,Sand Diamond Hotel
490,Huaquechula,MX,84.74,light rain,18.7667,-98.55,Locales Guadalupe
491,Yeppoon,AU,69.58,few clouds,-23.1333,150.7333,Villa Mar Colina
492,Wladyslawowo,PL,65.93,overcast clouds,54.7909,18.4009,Gwiazda Morza Resort SPA&SPORT
493,Blythe,US,84.04,clear sky,33.6103,-114.5964,Rodeway Inn & Suites
494,Prieska,ZA,72.54,overcast clouds,-29.6641,22.7474,Avenue GuestHouse
495,Pathein,MM,73.53,clear sky,16.7833,94.7333,Pathein Hotel
497,Ogaminana,NG,76.23,overcast clouds,7.5946,6.2248,Billy Guest Inn
498,Ucluelet,CA,64.09,overcast clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
499,Lata,PT,63.07,clear sky,40.1629,-8.3327,Casa Maquia
500,Nhulunbuy,AU,75.81,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
503,Moroni,KM,74.01,few clouds,-11.7022,43.2551,Hotel Les Arcades
504,Inyonga,TZ,77.68,overcast clouds,-6.7167,32.0667,Eden Rock Lodge
506,Kudahuvadhoo,MV,80.6,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
508,Lazaro Cardenas,MX,85.05,light rain,17.9583,-102.2,HOTEL QUINTA ANTIGUA
511,Videira,BR,66.76,overcast clouds,-27.0083,-51.1517,Hotel das Videiras
513,Palu,ID,76.37,heavy intensity rain,-0.8917,119.8707,Hotel Santika Palu
514,Mizdah,LY,63.39,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
516,Tatsuno,JP,60.08,clear sky,34.8667,134.55,Hatagoya Tatsuno
517,Savannah Bight,HN,83.43,few clouds,16.45,-85.85,Villa on Dunbar Rock
518,Buritizeiro,BR,84.99,clear sky,-17.3511,-44.9622,Santos Palace Hotel
519,Tolga,DZ,82.08,clear sky,34.7222,5.3785,سجن طولقة
520,Santa Cruz,BO,89.65,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
521,Leiyang,CN,61.2,broken clouds,26.4024,112.8591,Dongyang Hotel
523,Mitsamiouli,KM,75.16,clear sky,-11.3847,43.2844,Foyer ADM
524,Mahibadhoo,MV,81.1,overcast clouds,3.7833,72.9667,Omadhoo Inn
527,Curup,ID,67.17,moderate rain,-3.4667,102.5333,Ayi The Costel
529,Port-Gentil,GA,80.56,thunderstorm,-0.7193,8.7815,Fengshui Residence
530,Kaeo,NZ,61.32,few clouds,-35.1,173.7833,Bushido Lodge
531,Imbituba,BR,65.37,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
532,Alofi,NU,82.29,scattered clouds,-19.0595,-169.9187,Taloa Heights
533,Coos Bay,US,75.31,clear sky,43.3665,-124.2179,Best Western Holiday Hotel
534,Maumere,ID,80.2,overcast clouds,-8.6199,122.2111,Sylvia Hotel
536,Sabang,ID,77.95,overcast clouds,5.8933,95.3214,Hotel Citra
537,Catalina,US,79.2,scattered clouds,32.5056,-110.9211,Miraval Arizona Resort & Spa
539,Am Timan,TD,76.42,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
542,Pangkalanbuun,ID,74.14,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
543,San Ramon De La Nueva Oran,AR,70.43,overcast clouds,-23.1322,-64.326,Hotel Residencial Centro
544,Harper,LR,76.86,overcast clouds,4.375,-7.7169,Screensaver
548,Shimoda,JP,64.11,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
549,Batouri,CM,69.87,overcast clouds,4.4333,14.3667,Hotel Hollywood
550,Peabiru,BR,75.74,overcast clouds,-23.9128,-52.3431,La visa hotel
551,Alice Springs,AU,65.75,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
553,Dresden,DE,61.99,clear sky,51.0509,13.7383,Hyperion Hotel Dresden am Schloss
554,Fiumicino,IT,69.66,clear sky,41.7675,12.2291,Hotel Al Porticciolo
555,Barcelos,PT,66.85,clear sky,41.5388,-8.6151,Hotel Do Terço
556,Bossangoa,CF,69.37,light rain,6.4926,17.4552,Hotel du tourisme
558,Nantucket,US,64.54,overcast clouds,41.2835,-70.0995,Jared Coffin House
561,Teluk Nibung,ID,77.72,overcast clouds,3.001,99.8164,Hotel Assyifa
564,Puerto Ayacucho,VE,84.22,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
567,Kokoda,PG,76.69,overcast clouds,-8.8785,147.7407,Daito Guest House
568,Bundaberg,AU,70.21,broken clouds,-24.85,152.35,Takalvan Motel
569,Gwadar,PK,78.76,scattered clouds,25.1216,62.3254,Sadaf Resort
570,Praya,CV,77.54,clear sky,14.9215,-23.5087,LT Aparthotel
576,Sabirabad,AZ,62.28,overcast clouds,40.0095,48.4752,Muğan Park Hotel
